Level,TOL 2025,Title_fi,Title_en,Title_sv,Category
5,08110,"Koristekiven, kalkkikiven, kipsin, liuskekiven ja muun kiven louhinta","Mining of decorative stone, limestone, gypsum, slate and other stone","Brytning av dekorativ sten, kalksten, gips, skiffer och annan sten",B
4,0812,"Soran, hiekan, saven ja kaoliinin otto","Taking gravel, sand, clay and kaolin","Tar grus, sand, lera och kaolin",B
5,08120,"Soran, hiekan, saven ja kaoliinin otto","Taking gravel, sand, clay and kaolin","Tar grus, sand, lera och kaolin",B
3,089,Muualla luokittelematon kaivostoiminta ja louhinta,Mining and quarrying not elsewhere classified,Gruvor och stenbrytning som inte klassificerats någon annanstans,B
4,0891,Kemiallisten ja lannoitemineraalien louhinta,Mining of chemical and fertilizer minerals,Brytning av kemiska mineraler och gödselmineraler,B
5,08910,Kemiallisten ja lannoitemineraalien louhinta,Mining of chemical and fertilizer minerals,Brytning av kemiska mineraler och gödselmineraler,B
4,0892,Turpeenotto,Peat extraction,Torvutvinning,B
5,08920,Turpeenotto,Peat extraction,Torvutvinning,B
4,0893,Suolan tuotanto,Salt production,Saltproduktion,B
5,08930,Suolan tuotanto,Salt production,Saltproduktion,B
4,0899,Muu muualla luokittelematon kaivostoiminta ja louhinta,Other mining and quarrying not elsewhere classified,Annan gruvdrift och stenbrytning ej klassificerad någon annanstans,B
5,08990,Muu muualla luokittelematon kaivostoiminta ja louhinta,Other mining and quarrying not elsewhere classified,Annan gruvdrift och stenbrytning ej klassificerad någon annanstans,B
2,09,Kaivostoimintaa palveleva toiminta,Operations serving mining,Verksamhet som betjänar gruvdrift,B
3,091,Raakaöljyn ja maakaasun tuotantoa palveleva toiminta,Operations serving the production of crude oil and natural gas,Verksamhet som betjänar produktion av råolja och naturgas,B
4,0910,Raakaöljyn ja maakaasun tuotantoa palveleva toiminta,Operations serving the production of crude oil and natural gas,Verksamhet som betjänar produktion av råolja och naturgas,B
5,09100,Raakaöljyn ja maakaasun tuotantoa palveleva toiminta,Operations serving the production of crude oil and natural gas,Verksamhet som betjänar produktion av råolja och naturgas,B
3,099,Muu kaivostoimintaa ja louhintaa palveleva toiminta,Other operations serving mining and quarrying,Övrig verksamhet som betjänar gruvdrift och stenbrott,B
4,0990,Muu kaivostoimintaa ja louhintaa palveleva toiminta,Other operations serving mining and quarrying,Övrig verksamhet som betjänar gruvdrift och stenbrott,B
5,09900,Muu kaivostoimintaa ja louhintaa palveleva toiminta,Other operations serving mining and quarrying,Övrig verksamhet som betjänar gruvdrift och stenbrott,B
1,C,Teollisuus,Industrial,Industriell,
2,10,Elintarvikkeiden valmistus,Food manufacturing,Livsmedelstillverkning,C
3,101,"Teurastus, lihan säilyvyyskäsittely ja lihatuotteiden valmistus","Slaughter, preservation treatment of meat and production of meat products","Slakt, konserveringsbehandling av kött och produktion av köttprodukter",C
4,1011,Teurastus ja lihan säilyvyyskäsittely pois lukien siipikarja,Slaughter and preservation treatment of meat excluding poultry,Slakt- och konserveringsbehandling av kött exklusive fjäderfä,C
5,10110,Teurastus ja lihan säilyvyyskäsittely pois lukien siipikarja,Slaughter and preservation treatment of meat excluding poultry,Slakt- och konserveringsbehandling av kött exklusive fjäderfä,C
4,1012,Siipikarjan teurastus ja siipikarjanlihan säilyvyyskäsittely,Slaughter of poultry and preservation treatment of poultry meat,Slakt av fjäderfä och konserveringsbehandling av fjäderfäkött,C
5,10120,Siipikarjan teurastus ja siipikarjanlihan säilyvyyskäsittely,Slaughter of poultry and preservation treatment of poultry meat,Slakt av fjäderfä och konserveringsbehandling av fjäderfäkött,C
4,1013,Liha- ja siipikarjatuotteiden valmistus,Manufacture of meat and poultry products,Tillverkning av kött- och fjäderfäprodukter,C
5,10130,Liha- ja siipikarjatuotteiden valmistus,Manufacture of meat and poultry products,Tillverkning av kött- och fjäderfäprodukter,C
3,102,"Kalan, äyriäisten ja nilviäisten jalostus ja säilöntä","Processing and preservation of fish, crustaceans and molluscs","Bearbetning och konservering av fisk, kräftdjur och blötdjur",C
4,1020,"Kalan, äyriäisten ja nilviäisten jalostus ja säilöntä","Processing and preservation of fish, crustaceans and molluscs","Bearbetning och konservering av fisk, kräftdjur och blötdjur",C
5,10200,"Kalan, äyriäisten ja nilviäisten jalostus ja säilöntä","Processing and preservation of fish, crustaceans and molluscs","Bearbetning och konservering av fisk, kräftdjur och blötdjur",C
3,103,Kasvisten jalostus ja säilöntä,Breeding and preservation of plants,Förädling och bevarande av växter,C
4,1031,Perunoiden jalostus ja säilöntä,Processing and preservation of potatoes,Bearbetning och konservering av potatis,C
5,10310,Perunoiden jalostus ja säilöntä,Processing and preservation of potatoes,Bearbetning och konservering av potatis,C
4,1032,Kasvismehujen valmistus,Production of vegetable juices,Tillverkning av grönsaksjuicer,C
5,10320,Kasvismehujen valmistus,Production of vegetable juices,Tillverkning av grönsaksjuicer,C
4,1039,Muu kasvisten jalostus ja säilöntä,Other processing and preservation of vegetables,Annan bearbetning och konservering av grönsaker,C
5,10390,Muu kasvisten jalostus ja säilöntä,Other processing and preservation of vegetables,Annan bearbetning och konservering av grönsaker,C
3,104,Kasvi- ja eläinöljyjen ja -rasvojen valmistus,Production of vegetable and animal oils and fats,Produktion av vegetabiliska och animaliska oljor och fetter,C
4,1041,Öljyjen ja rasvojen valmistus,Production of oils and fats,Produktion av oljor och fetter,C
5,10410,Öljyjen ja rasvojen valmistus,Production of oils and fats,Produktion av oljor och fetter,C
4,1042,Margariinin ja vastaavien ravintorasvojen valmistus,Production of margarine and similar dietary fats,Tillverkning av margarin och liknande dietfetter,C
5,10420,Margariinin ja vastaavien ravintorasvojen valmistus,Production of margarine and similar dietary fats,Tillverkning av margarin och liknande dietfetter,C
3,105,"Maitotuotteiden, jäätelön, mehujään ja vastaavien jäädytettyjen valmisteiden valmistus","Production of dairy products, ice cream, juice ice and similar frozen products","Tillverkning av mejeriprodukter, glass, saftis och liknande frysta produkter",C
4,1051,Maitotuotteiden valmistus,Production of dairy products,Tillverkning av mejeriprodukter,C
5,10510,Maitotuotteiden valmistus,Production of dairy products,Tillverkning av mejeriprodukter,C
4,1052,"Jäätelön, mehujään ja vastaavien jäädytettyjen valmisteiden valmistus","Production of ice cream, juice ice and similar frozen products","Tillverkning av glass, juiceglass och liknande frysta produkter",C
5,10520,"Jäätelön, mehujään ja vastaavien jäädytettyjen valmisteiden valmistus","Production of ice cream, juice ice and similar frozen products","Tillverkning av glass, juiceglass och liknande frysta produkter",C
3,106,Mylly- ja tärkkelystuotteiden valmistus,Manufacture of mill and starch products,Tillverkning av kvarn och stärkelseprodukter,C
4,1061,Myllytuotteiden valmistus,Manufacture of mill products,Tillverkning av bruksprodukter,C
5,10610,Myllytuotteiden valmistus,Manufacture of mill products,Tillverkning av bruksprodukter,C
4,1062,Tärkkelyksen ja tärkkelystuotteiden valmistus,Manufacture of starch and starch products,Tillverkning av stärkelse och stärkelseprodukter,C
5,10620,Tärkkelyksen ja tärkkelystuotteiden valmistus,Manufacture of starch and starch products,Tillverkning av stärkelse och stärkelseprodukter,C
3,107,Leipomotuotteiden ja jauhotuotteiden valmistus,Manufacture of bakery products and flour products,Tillverkning av bageriprodukter och mjölprodukter,C
4,1071,"Leivän valmistus, tuoreiden leivonnaisten ja kakkujen valmistus","Making bread, making fresh pastries and cakes","Bakar bröd, gör färska bakverk och kakor",C
5,10710,"Leivän valmistus, tuoreiden leivonnaisten ja kakkujen valmistus","Making bread, making fresh pastries and cakes","Bakar bröd, gör färska bakverk och kakor",C
4,1072,"Näkkileivän, keksien, säilyvien leivonnaisten ja kakkujen valmistus","Production of crackers, cookies, long-lasting pastries and cakes","Tillverkning av kex, kakor, långvariga bakverk och kakor",C
5,10720,"Näkkileivän, keksien, säilyvien leivonnaisten ja kakkujen valmistus","Production of crackers, cookies, long-lasting pastries and cakes","Tillverkning av kex, kakor, långvariga bakverk och kakor",C
4,1073,Jauhotuotteiden valmistus,Manufacture of flour products,Tillverkning av mjölprodukter,C
5,10730,Jauhotuotteiden valmistus,Manufacture of flour products,Tillverkning av mjölprodukter,C
3,108,Muu elintarvikkeiden valmistus,Other food manufacturing,Annan livsmedelstillverkning,C
4,1081,Sokerin valmistus,Sugar production,Sockerproduktion,C
5,10810,Sokerin valmistus,Sugar production,Sockerproduktion,C
4,1082,"Kaakaon, suklaan ja makeisten valmistus","Production of cocoa, chocolate and sweets","Tillverkning av kakao, choklad och godis",C
5,10820,"Kaakaon, suklaan ja makeisten valmistus","Production of cocoa, chocolate and sweets","Tillverkning av kakao, choklad och godis",C
4,1083,Teen ja kahvin valmistus,Making tea and coffee,Lagar te och kaffe,C
5,10830,Teen ja kahvin valmistus,Making tea and coffee,Lagar te och kaffe,C
4,1084,Mausteiden ja maustekastikkeiden valmistus,Production of spices and seasoning sauces,Tillverkning av kryddor och kryddsåser,C
5,10840,Mausteiden ja maustekastikkeiden valmistus,Production of spices and seasoning sauces,Tillverkning av kryddor och kryddsåser,C
4,1085,Einesten ja valmisruokien valmistus,Preparation of meals and ready meals,Tillagning av måltider och färdigrätter,C
5,10850,Einesten ja valmisruokien valmistus,Preparation of meals and ready meals,Tillagning av måltider och färdigrätter,C
4,1086,Homogenoitujen ravintovalmisteiden ja dieettiruokien valmistus,Manufacture of homogenized nutritional products and diet foods,Tillverkning av homogeniserade näringsprodukter och dietmat,C
5,10860,Homogenoitujen ravintovalmisteiden ja dieettiruokien valmistus,Manufacture of homogenized nutritional products and diet foods,Tillverkning av homogeniserade näringsprodukter och dietmat,C
4,1089,Muu muualla luokittelematon elintarvikkeiden valmistus,Other food manufacturing not elsewhere classified,Annan livsmedelstillverkning ej klassificerad någon annanstans,C
5,10890,Muu muualla luokittelematon elintarvikkeiden valmistus,Other food manufacturing not elsewhere classified,Annan livsmedelstillverkning ej klassificerad någon annanstans,C
3,109,Eläinten ruokien valmistus,Production of animal food,Produktion av animaliskt foder,C
4,1091,Kotieläinten rehujen valmistus,Production of feed for domestic animals,Produktion av foder för husdjur,C
5,10910,Kotieläinten rehujen valmistus,Production of feed for domestic animals,Produktion av foder för husdjur,C
4,1092,Lemmikkieläinten ruokien valmistus,Pet food manufacturing,Tillverkning av husdjursfoder,C
5,10920,Lemmikkieläinten ruokien valmistus,Pet food manufacturing,Tillverkning av husdjursfoder,C
2,11,Juomien valmistus,Preparation of beverages,Beredning av drycker,C
3,110,Juomien valmistus,Preparation of beverages,Beredning av drycker,C
4,1101,Alkoholijuomien tislaus ja sekoittaminen,Distillation and mixing of alcoholic beverages,Destillering och blandning av alkoholhaltiga drycker,C
5,11010,Alkoholijuomien tislaus ja sekoittaminen,Distillation and mixing of alcoholic beverages,Destillering och blandning av alkoholhaltiga drycker,C
4,1102,Viinin valmistus rypäleistä,Making wine from grapes,Att göra vin av druvor,C
5,11020,Viinin valmistus rypäleistä,Making wine from grapes,Att göra vin av druvor,C
4,1103,Siiderin ja muiden hedelmä- ja marjajuomien valmistus käymisteitse,Production of cider and other fruit and berry drinks by fermentation,Framställning av cider och andra frukt- och bärdrycker genom jäsning,C
5,11030,Siiderin ja muiden hedelmä- ja marjajuomien valmistus käymisteitse,Production of cider and other fruit and berry drinks by fermentation,Framställning av cider och andra frukt- och bärdrycker genom jäsning,C
4,1104,Muu tislaamattomien juomien valmistus käymisteitse,Other production of non-distilled beverages by fermentation,Annan produktion av icke-destillerade drycker genom jäsning,C
5,11040,Muu tislaamattomien juomien valmistus käymisteitse,Other production of non-distilled beverages by fermentation,Annan produktion av icke-destillerade drycker genom jäsning,C
4,1105,Oluen valmistus,Brewing beer,Brygga öl,C
5,11050,Oluen valmistus,Brewing beer,Brygga öl,C
4,1106,Maltaiden valmistus,Production of malts,Tillverkning av malt,C
5,11060,Maltaiden valmistus,Production of malts,Tillverkning av malt,C
4,1107,Virvoitusjuomien ja pullotettujen vesien valmistus,Production of soft drinks and bottled water,Tillverkning av läsk och vatten på flaska,C
5,11070,Virvoitusjuomien ja pullotettujen vesien valmistus,Production of soft drinks and bottled water,Tillverkning av läsk och vatten på flaska,C
2,12,Tupakkatuotteiden valmistus,Manufacture of tobacco products,Tillverkning av tobaksvaror,C
3,120,Tupakkatuotteiden valmistus,Manufacture of tobacco products,Tillverkning av tobaksvaror,C
4,1200,Tupakkatuotteiden valmistus,Manufacture of tobacco products,Tillverkning av tobaksvaror,C
5,12000,Tupakkatuotteiden valmistus,Manufacture of tobacco products,Tillverkning av tobaksvaror,C
2,13,Tekstiilien valmistus,Manufacture of textiles,Tillverkning av textilier,C
3,131,Tekstiilikuitujen valmistelu ja kehruu,Preparation and spinning of textile fibers,Beredning och spinning av textilfibrer,C
4,1310,Tekstiilikuitujen valmistelu ja kehruu,Preparation and spinning of textile fibers,Beredning och spinning av textilfibrer,C
5,13100,Tekstiilikuitujen valmistelu ja kehruu,Preparation and spinning of textile fibers,Beredning och spinning av textilfibrer,C
3,132,Kankaiden kudonta,Weaving of fabrics,Vävning av tyger,C
4,1320,Kankaiden kudonta,Weaving of fabrics,Vävning av tyger,C
5,13200,Kankaiden kudonta,Weaving of fabrics,Vävning av tyger,C
3,133,Tekstiilien viimeistely,Textile finishing,Textil finish,C
4,1330,Tekstiilien viimeistely,Textile finishing,Textil finish,C
5,13300,Tekstiilien viimeistely,Textile finishing,Textil finish,C
3,139,Muu tekstiilituotteiden valmistus,Other manufacturing of textile products,Övrig tillverkning av textilprodukter,C
4,1391,Neulosten valmistus,Manufacture of knitwear,Tillverkning av stickade plagg,C
5,13910,Neulosten valmistus,Manufacture of knitwear,Tillverkning av stickade plagg,C
4,1392,Kodintekstiilien ja sovitettujen tekstiilituotteiden valmistus,Manufacture of home textiles and tailored textile products,Tillverkning av hemtextilier och skräddarsydda textilprodukter,C
